 1/1  unison, perfect prime
 2/1  octave
 3/2  perfect fifth
 4/3  perfect fourth
 5/3  major sixth, BP sixth
 5/4  major third
 6/5  minor third
 7/3  minimal tenth, BP tenth
 7/4  harmonic seventh
 7/5  septimal or Huygens' tritone, BP fourth
 7/6  septimal minor third
 8/5  minor sixth
 8/7  septimal whole tone
 9/4  major ninth
 9/5  just minor seventh, BP seventh
 9/7  septimal major third, BP third
 9/8  major whole tone
 10/7  Euler's tritone
 10/9  minor whole tone
 11/5  neutral ninth
 11/6  21/4-tone, undecimal neutral seventh
 11/7  undecimal augmented fifth
 11/8  undecimal semi-augmented fourth
 11/9  undecimal neutral third
 11/10  4/5-tone, Ptolemy's second
 12/7   septimal major sixth
 12/11  3/4-tone, undecimal neutral second
 13/7   16/3-tone
 13/8   tridecimal neutral sixth
 13/9   tridecimal diminished fifth
 13/10  tridecimal semi-diminished fourth
 13/11  tridecimal minor third
 13/12  tridecimal 2/3-tone
 14/9   septimal minor sixth
 14/11  undecimal diminished fourth or major third
 14/13  2/3-tone
 15/7   septimal minor ninth, BP ninth
 15/8   classic major seventh
 15/11  undecimal augmented fourth
 15/13  tridecimal 5/4-tone
 15/14  major diatonic semitone
 16/7   septimal major ninth
 16/9   Pythagorean minor seventh
 16/11  undecimal semi-diminished fifth
 16/13  tridecimal neutral third
 16/15  minor diatonic semitone
 17/8   septendecimal minor ninth
 17/9   septendecimal major seventh
 17/10  septendecimal diminished seventh
 17/12  2nd septendecimal tritone
 17/14  supraminor third
 17/16  17th harmonic
 18/11  undecimal neutral sixth
 18/13  tridecimal augmented fourth
 18/17  Arabic lute index finger
 19/10  undevicesimal major seventh
 19/12  undevicesimal minor sixth
 19/15  undevicesimal ditone
 19/16  19th harmonic
 19/17  quasi-meantone
 19/18  undevicesimal semitone
 20/9   small ninth
 20/11  large minor seventh
 20/13  tridecimal semi-augmented fifth
 20/17  septendecimal augmented second
 20/19  small undevicesimal semitone
 21/11  undecimal major seventh
 21/16  narrow fourth
 21/17  submajor third
 21/20  minor semitone
 22/13  tridecimal major sixth
 22/15  undecimal diminished fifth
 22/21  undecimal minor semitone
 23/12  vicesimotertial major seventh
 23/16  23rd harmonic
 23/18  vicesimotertial major third
 24/13  tridecimal neutral seventh
 24/17  1st septendecimal tritone
 24/19  smaller undevicesimal major third
 25/9   classic augmented eleventh, BP twelfth
 25/12  classic augmented octave
 25/14  middle minor seventh
 25/16  classic augmented fifth
 25/18  classic augmented fourth
 25/21  BP second, quasi-tempered minor third
 25/24  classic chromatic semitone, minor chroma
 26/15  tridecimal semi-augmented sixth
 27/14  septimal major seventh
 27/16  Pythagorean major sixth
 27/17  septendecimal minor sixth
 27/20  acute fourth
 27/22  neutral third, Zalzal wosta of al-Farabi
 27/23  vicesimotertial minor third
 27/25  large limma, BP small semitone
 27/26  tridecimal comma
 28/15  grave major seventh
 28/17  submajor sixth
 28/25  middle second
 28/27  Archytas' 1/3-tone
 29/16  29th harmonic
 30/19  smaller undevicesimal minor sixth
 31/16  31st harmonic
 31/30  31st-partial chroma
 32/15  minor ninth
